timeSeries,lon,lat
"1288",-154.50586,57.189888
"1289",-153.26245,57.188713
"1290",-153.16298,57.188076
"1291",-153.11325,57.18773
"1292",-152.99747,57.17788
"1293",-152.93092,57.18628
"1294",-152.8649,57.176727
"1311",-154.50598,57.198845
"1312",-153.34517,57.198143
"1313",-153.2455,57.206528
"1314",-153.16278,57.197037
"1315",-153.07988,57.19644
"1316",-152.98065,57.1867
"1317",-152.94724,57.195377
"1318",-152.91408,57.195087
"1339",-154.5061,57.2078
"1340",-153.31166,57.215878
"1341",-153.29507,57.215782
"1342",-153.26207,57.20663
"1343",-153.14598,57.20588
"1344",-153.0633,57.196316
"1345",-152.93065,57.195236
"1368",-154.52283,57.21669
"1369",-153.37787,57.225185
"1370",-153.32808,57.224926
"1371",-153.29489,57.22474
"1372",-153.2453,57.215485
"1373",-153.17915,57.206104
"1374",-153.12897,57.223675
"1375",-152.93039,57.204193
"1398",-154.52309,57.234608
"1399",-153.27812,57.2336
"1400",-153.21213,57.21528
"1401",-153.19554,57.21517
"1402",-153.12874,57.23263
"1403",-153.11215,57.232513
"1404",-153.09555,57.232395
"1405",-153.07895,57.23227
"1406",-153.06236,57.232143
"1407",-153.04576,57.232018
"1408",-153.02916,57.231888
"1428",-154.53969,57.234535
"1429",-153.22852,57.224342
"1430",-153.19493,57.242043
"1431",-153.17833,57.241932
"1432",-153.14534,57.23275
"1433",-153.01231,57.24071
"1460",-154.53983,57.243492
"1461",-153.24474,57.24236
"1462",-152.99547,57.249535
"1463",-152.97887,57.249397
"1483",-154.53995,57.25245
"1484",-152.962,57.258217
"1508",-154.54022,57.270363
"1509",-152.96175,57.267174
"1510",-152.92851,57.266888
"1532",-154.55684,57.27029
"1553",-154.70673,57.287437
"1554",-154.62361,57.287884
"1555",-154.607,57.287968
"1556",-154.57375,57.288128
"1579",-154.72336,57.28734
"1580",-154.64024,57.2878
"1581",-153.6096,57.27989
"1582",-153.59299,57.279835
"1583",-152.92825,57.275845
"1584",-152.79472,57.292526
"1585",-152.77809,57.292362
"1603",-154.74016,57.2962
"1604",-154.70708,57.30535
"1605",-154.69044,57.305443
"1606",-154.65703,57.29667
"1607",-153.62614,57.288895
"1608",-153.59279,57.29775
"1609",-152.9446,57.284943
"1610",-152.81134,57.29269
"1611",-152.76115,57.301155
"1612",-152.67802,57.30029
"1630",-154.72371,57.305252
"1631",-153.67593,57.297993
"1632",-153.64249,57.315815
"1633",-153.60931,57.30676
"1634",-153.07733,57.294968
"1635",-153.04408,57.294712
"1636",-152.97733,57.303135
"1637",-152.86064,57.311073
"1638",-152.81104,57.301643
"1639",-152.66106,57.309067
"1660",-154.72389,57.31421
"1661",-153.70912,57.307034
"1662",-153.69247,57.306995
"1663",-153.65904,57.32482
"1664",-153.127,57.304287
"1665",-153.11037,57.30417
"1666",-153.09373,57.304047
"1667",-153.02722,57.30354
"1668",-152.99371,57.31223
"1669",-152.86035,57.320026
"1670",-152.84372,57.319874
"1671",-152.81044,57.319557
"1672",-152.7439,57.318897
"1673",-152.69432,57.30942
"1674",-152.64409,57.31784
"1695",-154.72408,57.323166
"1696",-153.75896,57.316097
"1697",-153.72568,57.31603
"1698",-153.67569,57.324863
"1699",-153.19292,57.331608
"1700",-153.16005,57.313473
"1701",-153.14342,57.31336
"1702",-152.97707,57.31209
"1703",-152.877,57.32018
"1704",-152.72694,57.327682
"1705",-152.67703,57.327156
"1706",-152.6271,57.32661
"1723",-154.70761,57.33222
"1724",-153.7089,57.333904
"1725",-153.14299,57.331272
"1726",-153.09283,57.33987
"1727",-153.07619,57.33975
"1728",-153.05954,57.339622
"1729",-152.86008,57.328983
"1730",-152.70999,57.336464
"1747",-154.72462,57.350037
"1748",-153.77542,57.343002
